Matrix_Size,NNZ_Ratio,Mean_Time_ms,Std_Time_ms,Failed,Dense_Time_ms,Speedup,Device,PyTorch_Version
2048,0.01,2.1883,0.5505,False,4.9270,2.2516,mps,2.10.0a0+gitae25447
2048,0.015,2.3046,0.2227,False,4.9270,2.1378,mps,2.10.0a0+gitae25447
2048,0.02,2.8520,0.4206,False,4.9270,1.7276,mps,2.10.0a0+gitae25447
2048,0.025,3.2907,0.4754,False,4.9270,1.4973,mps,2.10.0a0+gitae25447
2048,0.03,3.4359,0.1112,False,4.9270,1.4339,mps,2.10.0a0+gitae25447
2048,0.035,3.8692,0.1608,False,4.9270,1.2734,mps,2.10.0a0+gitae25447
2048,0.04,4.3986,0.3521,False,4.9270,1.1201,mps,2.10.0a0+gitae25447
2048,0.045,4.8118,0.3049,False,4.9270,1.0239,mps,2.10.0a0+gitae25447
2048,0.05,5.1830,0.2215,False,4.9270,0.9506,mps,2.10.0a0+gitae25447
2048,0.1,9.0228,0.0221,False,4.9270,0.5461,mps,2.10.0a0+gitae25447
4096,0.001,4.2704,0.0302,False,36.0519,8.4423,mps,2.10.0a0+gitae25447
4096,0.002,5.0093,0.0144,False,36.0519,7.1970,mps,2.10.0a0+gitae25447
4096,0.003,5.8224,0.0148,False,36.0519,6.1919,mps,2.10.0a0+gitae25447
4096,0.004,6.6928,0.0540,False,36.0519,5.3867,mps,2.10.0a0+gitae25447
4096,0.005,7.5150,0.0111,False,36.0519,4.7973,mps,2.10.0a0+gitae25447
4096,0.006,8.4720,0.0427,False,36.0519,4.2554,mps,2.10.0a0+gitae25447
4096,0.007,9.3913,0.0351,False,36.0519,3.8389,mps,2.10.0a0+gitae25447
4096,0.008,10.1231,0.0543,False,36.0519,3.5613,mps,2.10.0a0+gitae25447
4096,0.009,11.3383,0.1116,False,36.0519,3.1797,mps,2.10.0a0+gitae25447
4096,0.01,12.3772,0.0502,False,36.0519,2.9128,mps,2.10.0a0+gitae25447
4096,0.015,16.7326,0.0509,False,36.0519,2.1546,mps,2.10.0a0+gitae25447
4096,0.02,21.8592,0.1753,False,36.0519,1.6493,mps,2.10.0a0+gitae25447
4096,0.025,26.6225,0.0546,False,36.0519,1.3542,mps,2.10.0a0+gitae25447
4096,0.03,31.4735,0.0415,False,36.0519,1.1455,mps,2.10.0a0+gitae25447
4096,0.035,36.4233,0.0824,False,36.0519,0.9898,mps,2.10.0a0+gitae25447
4096,0.04,41.3292,0.0333,False,36.0519,0.8723,mps,2.10.0a0+gitae25447
4096,0.045,46.2510,0.3031,False,36.0519,0.7795,mps,2.10.0a0+gitae25447
4096,0.05,50.8953,0.0430,False,36.0519,0.7084,mps,2.10.0a0+gitae25447
4096,0.1,96.7556,0.1181,False,36.0519,0.3726,mps,2.10.0a0+gitae25447
8192,0.001,20.5538,0.0269,False,295.1001,14.3574,mps,2.10.0a0+gitae25447
8192,0.002,28.9119,0.0466,False,295.1001,10.2069,mps,2.10.0a0+gitae25447
8192,0.003,38.1234,0.0667,False,295.1001,7.7407,mps,2.10.0a0+gitae25447
8192,0.004,48.2875,0.1473,False,295.1001,6.1113,mps,2.10.0a0+gitae25447
